candidate_id,rank,score,reasoning
CAND_0018499,1,0.99,"Senior Machine Learning Engineer with 7.2 yrs in Noida, Uttar Pradesh; strong JD alignment; skills: Weaviate, Pinecone, Information Retrieval, Milvus; implemented RAG pipeline; product-company background; actively looking; 15d notice."
CAND_0081846,2,0.973053,"Lead AI Engineer with 6.7 yrs in Jaipur, Rajasthan; strong JD alignment; skills: Information Retrieval, Elasticsearch, Python, Embeddings; built semantic search; product-company background; actively looking; 30d notice."
CAND_0055905,3,0.772857,"Senior Machine Learning Engineer with 8.1 yrs in London; strong JD alignment; skills: Elasticsearch, Python, OpenSearch, Information Retrieval; built semantic search; product-company background; actively looking; 30d notice; concern: outside India (london)."
CAND_0039754,4,0.771996,"Senior Applied Scientist with 16.2 yrs in Indore, Madhya Pradesh; strong JD alignment; skills: Qdrant, NLP, OpenSearch, Machine Learning; built semantic search; product-company background; actively looking; 30d notice; concern: overexperienced (16.2 yrs)."
CAND_0046064,5,0.73995,"Senior NLP Engineer with 8.9 yrs in Coimbatore, Tamil Nadu; strong JD alignment; skills: Python, Pinecone, OpenSearch, Elasticsearch; implemented RAG pipeline; product-company background; actively looking; 30d notice."
CAND_0086022,6,0.721694,"Senior Applied Scientist with 5.3 yrs in Kolkata, West Bengal; strong JD alignment; skills: Elasticsearch, Pinecone, Embeddings, NLP; implemented RAG pipeline; product-company background; actively looking; 0d notice."
CAND_0005260,7,0.71575,"Senior NLP Engineer with 5.2 yrs in Chennai, Tamil Nadu; strong JD alignment; skills: Information Retrieval, Python, NLP, RAG; implemented RAG pipeline; product-company background."
CAND_0008425,8,0.702133,"Senior NLP Engineer with 7.8 yrs in Kolkata, West Bengal; moderate JD alignment; skills: Qdrant, NLP, Python, Information Retrieval; built semantic search; product-company background; actively looking; long notice (90d)."
CAND_0054123,9,0.701559,"Applied ML Engineer with 4.7 yrs in Gurgaon, Haryana; strong JD alignment; skills: Python, Weaviate, Qdrant; built recommendation system; product-company background."
CAND_0075249,10,0.671609,"Applied ML Engineer with 6.2 yrs in Ahmedabad, Gujarat; strong JD alignment; skills: Milvus, Machine Learning, Pinecone; built recommendation system; product-company background; actively looking."
CAND_0046525,11,0.670061,"Senior Machine Learning Engineer with 6.1 yrs in Pune, Maharashtra; strong JD alignment; skills: Elasticsearch, Machine Learning, Information Retrieval, NLP; implemented RAG pipeline; actively looking."
CAND_0079387,12,0.647432,"AI Engineer with 6.9 yrs in Trivandrum, Kerala; moderate JD alignment; skills: Python, OpenSearch; built recommendation system; product-company background; actively looking; 30d notice."
CAND_0033861,13,0.645471,"Senior NLP Engineer with 8.0 yrs in Vizag, Andhra Pradesh; moderate JD alignment; skills: Weaviate, Machine Learning, Elasticsearch, Pinecone; built recommendation system; product-company background; 30d notice; low response rate."
CAND_0002025,14,0.64302,"Senior AI Engineer with 5.9 yrs in Trivandrum, Kerala; moderate JD alignment; skills: FAISS, OpenSearch, Weaviate, NLP; built recommendation system; product-company background; actively looking; 30d notice."
CAND_0094759,15,0.641499,"Lead AI Engineer with 8.6 yrs in Mumbai, Maharashtra; strong JD alignment; skills: Qdrant, NLP, FAISS, Weaviate; implemented RAG pipeline; product-company background; 30d notice; low response rate."
CAND_0071974,16,0.637081,"Senior AI Engineer with 7.8 yrs in Vizag, Andhra Pradesh; moderate JD alignment; skills: Weaviate, Pinecone, Machine Learning, Information Retrieval; built recommendation system; product-company background; actively looking."
CAND_0018549,17,0.630767,"Recommendation Systems Engineer with 6.8 yrs in Coimbatore, Tamil Nadu; moderate JD alignment; skills: Weaviate, Elasticsearch, Qdrant, Milvus; built recommendation system; product-company background; actively looking."
CAND_0006557,18,0.616034,"NLP Engineer with 7.9 yrs in Jaipur, Rajasthan; moderate JD alignment; skills: Elasticsearch, OpenSearch, Weaviate, FAISS; built recommendation system; product-company background; actively looking; long notice (120d)."
CAND_0077337,19,0.612911,"Staff Machine Learning Engineer with 7.0 yrs in Kochi, Kerala; moderate JD alignment; skills: Pinecone, Information Retrieval, RAG, Qdrant; built recommendation system; product-company background; actively looking."
CAND_0062247,20,0.604412,"AI Engineer with 7.3 yrs in Kochi, Kerala; moderate JD alignment; skills: Pinecone, Qdrant, RAG, Information Retrieval; built semantic search; product-company background; actively looking; 30d notice."
CAND_0042506,21,0.603209,"Search Engineer with 4.2 yrs in Mumbai, Maharashtra; moderate JD alignment; skills: Information Retrieval, Milvus, Qdrant, FAISS; built recommendation system; product-company background; actively looking; 15d notice."
CAND_0068811,22,0.601952,"Applied ML Engineer with 8.0 yrs in Pune, Maharashtra; moderate JD alignment; skills: Qdrant, Embeddings, Pinecone, OpenSearch; built recommendation system; product-company background; actively looking; 30d notice."
CAND_0041669,23,0.595412,"Recommendation Systems Engineer with 8.0 yrs in Noida, Uttar Pradesh; moderate JD alignment; skills: FAISS, Milvus, Weaviate, Information Retrieval; built recommendation system; product-company background; actively looking."
CAND_0028793,24,0.595371,"Search Engineer with 7.2 yrs in Trivandrum, Kerala; skills: Embeddings, Information Retrieval, NLP; built semantic search; product-company background; actively looking; long notice (120d)."
CAND_0089552,25,0.592377,"Machine Learning Engineer with 6.0 yrs in Kolkata, West Bengal; moderate JD alignment; skills: Weaviate, Qdrant, Milvus, Machine Learning; built recommendation system; product-company background; long notice (120d)."
CAND_0011687,26,0.590916,"Senior NLP Engineer with 7.8 yrs in Indore, Madhya Pradesh; strong JD alignment; skills: OpenSearch, FAISS, Embeddings, Weaviate; used Pinecone in production; actively looking; 15d notice."
CAND_0053591,27,0.590914,"AI Engineer with 5.3 yrs in Toronto; moderate JD alignment; skills: Embeddings, Milvus, OpenSearch, Qdrant; implemented RAG pipeline; product-company background; actively looking; concern: outside India (toronto)."
CAND_0083307,28,0.576291,"Search Engineer with 7.8 yrs in Vizag, Andhra Pradesh; moderate JD alignment; skills: Embeddings, Pinecone, Weaviate, Python; built semantic search; product-company background; actively looking; long notice (120d)."
CAND_0042029,29,0.575684,"Senior Data Scientist with 6.5 yrs in Delhi, Delhi; moderate JD alignment; skills: NLP, RAG, Elasticsearch, Embeddings; implemented RAG pipeline; product-company background."
CAND_0069638,30,0.575039,"Computer Vision Engineer with 6.2 yrs in Chennai, Tamil Nadu; moderate JD alignment; skills: Pinecone; built ranking system; product-company background; actively looking; 30d notice."
CAND_0086151,31,0.565301,"Recommendation Systems Engineer with 7.7 yrs in Vizag, Andhra Pradesh; moderate JD alignment; skills: Qdrant, OpenSearch, Embeddings, Elasticsearch; built recommendation system; product-company background; actively looking; long notice (120d)."
